epoch,loss,recon,kl
1,0.044628812784949935,0.04356343062553141,1.0653821196026272
2,0.02704639097220368,0.02574286547799905,1.3035254230499267
3,0.02438958943883578,0.0229668390535646,1.4227503385543823
4,0.021705247703525755,0.020183478620317247,1.5217690406375461
5,0.01951197369562255,0.017908446186118657,1.6035274642308552
6,0.01857972955869304,0.016948409219582877,1.631320313665602
7,0.01805541067653232,0.016407818984654213,1.647591569688585
8,0.017526876543958982,0.01586963077717357,1.6572457133399117
9,0.01717459695206748,0.015508946827716297,1.6656500263214111
10,0.01694986303647359,0.015269556401504411,1.6803065365685357
11,0.016366602977116902,0.014690969843831328,1.6756329643461438
12,0.016122461653418012,0.014445342465407318,1.6771191569434272
13,0.015848753281765514,0.014157258331775665,1.6914948890474109
14,0.015629714088307486,0.013929419337047472,1.7002946399052938
15,0.015349477718273798,0.013639723165167702,1.7097544779247709
16,0.015179183512926102,0.013457329795592362,1.7218536199993557
17,0.014973691690299246,0.013239436028732194,1.7342555974324545
18,0.014663230189018779,0.012932993777924114,1.730236334906684
19,0.014546281007428963,0.01280580126825306,1.740479630364312
20,0.014427551197508971,0.012673589770164754,1.7539613937801786
21,0.014215881357590358,0.012466157789859506,1.7497235174179078
22,0.014065644851989216,0.012309608206980759,1.7560365635553996
23,0.013893569787343343,0.01213765150308609,1.7559182522031995
24,0.013766900344027413,0.012007710821098751,1.759189437866211
25,0.013674326631757949,0.011910184101098113,1.7641424627304076
26,0.013578925095498563,0.011804778007169564,1.7741470176908705
27,0.013373885181215074,0.011597551402946313,1.7763337012396918
28,0.013118631610439883,0.011340501110586855,1.7781303904851278
29,0.013147494617435668,0.011365805060499244,1.7816894670062595
30,0.012820731495817502,0.011041606849266423,1.7791245379977756
31,0.012836004585027695,0.011050920832488272,1.7850836519665187
32,0.012720007337629796,0.010935928865439362,1.7840783361858792
33,0.01270168583591779,0.010911230687465932,1.7904550941255357
34,0.012541688019202815,0.010754288003676468,1.7873999439875285
35,0.012445150380333265,0.010659444713758098,1.7857055404451159
36,0.012470068805747562,0.010679814946320322,1.7902537938223946
37,0.012423950495819252,0.010626469185782804,1.797481220987108
38,0.012393924040926827,0.01058655561423964,1.8073683141072592
39,0.012163483933442168,0.010370242699152894,1.793241144074334
40,0.012145886087583171,0.010351426209012667,1.7944597993426852
41,0.012049079234401384,0.010261193005575073,1.7878861524793837
42,0.012108269525070985,0.010319515164527629,1.7887542876137628
43,0.011875954084098339,0.010085694943037299,1.7902590537601046
44,0.011889938238594267,0.010102328220175372,1.7876099500656129
45,0.011895147479242748,0.010099713378482394,1.7954339678022597
46,0.011757835169633229,0.009965895815855927,1.7919393093321059
47,0.011721395889090167,0.009930180924634139,1.791214855617947
48,0.011656792083548174,0.009867469682461686,1.7893223108715481
49,0.0115536677175098,0.009769522195061048,1.7841454621420967
50,0.011522351326213943,0.009736447614928086,1.7859036060969036
